Name	Schema	Create Date	Policy Health State	Owner
Ave_ByTACourse_Type_22070	dbo	10/22/2020 4:51 PM		dbo
Ave_ByTACourse_Type_22071	dbo	12/21/2020 2:52 PM		dbo
Ave_ByTACourse_Type_22110	dbo	3/3/2021 11:49 AM		dbo
Ave_ByTACourse_Type_22111	dbo	5/8/2021 3:22 PM		dbo
Ave_ByTACourse_Type_2214	dbo	8/23/2021 10:41 AM		dbo
Ave_ByTACourse_Type_22170	dbo	10/11/2021 10:58 AM		dbo
Ave_ByTACourse_Type_22171	dbo	12/22/2021 5:12 PM		dbo
Ave_ByTACourse_Type_22210	dbo	3/7/2022 3:10 PM		dbo
Ave_ByTACourse_Type_22211	dbo	5/16/2022 2:01 PM		dbo
Ave_ByTACourse_Type_2224	dbo	8/22/2022 12:51 PM		dbo
Ave_ByTACourse_Type_22270	dbo	10/21/2022 1:13 PM		dbo
Ave_ByTACourse_Type_22271	dbo	12/16/2022 12:53 PM		dbo
Ave_ByTACourse_Type_22310	dbo	2/28/2023 4:06 PM		dbo
Ave_ByTACourse_Type_22311	dbo	5/19/2023 3:06 PM		dbo
Ave_ByTACourse_Type_2234	dbo	8/14/2023 2:59 PM		dbo
Ave_LoDiv	dbo	5/25/2010 3:46 PM		dbo
Ave_LoDiv_2111	dbo	5/17/2011 1:39 PM		dbo
Ave_LoDiv_2114	dbo	8/11/2011 1:18 PM		dbo
Ave_LoDiv_2117	dbo	12/20/2011 9:37 AM		dbo
Ave_LoDiv_2121	dbo	5/7/2012 7:22 PM		dbo
Ave_LoDiv_2124	dbo	8/23/2012 11:04 AM		dbo
Ave_overall	dbo	5/26/2010 2:56 PM		dbo
Ave_overall_2111	dbo	5/17/2011 1:58 PM		dbo
Ave_overall_2114	dbo	8/11/2011 1:28 PM		dbo
Ave_overall_2117	dbo	12/20/2011 10:04 AM		dbo
Ave_overall_2121	dbo	5/7/2012 8:35 PM		dbo
Ave_overall_2124	dbo	8/23/2012 11:09 AM		dbo
Ave_TALabCourse_2107	dbo	12/29/2010 10:27 AM		dbo
Ave_TALabCourse_21110	dbo	6/22/2011 4:31 PM		dbo
Ave_TALabCourse_21111	dbo	6/22/2011 4:32 PM		dbo
Ave_TALabCourse_2114	dbo	8/9/2011 3:36 PM		dbo
Ave_TALabCourse_21170	dbo	10/20/2011 3:41 PM		dbo
Ave_TALabCourse_21171	dbo	12/20/2011 10:53 AM		dbo
Ave_TALabCourse_21210	dbo	3/1/2012 2:41 PM		dbo
Ave_TALabCourse_21211	dbo	5/7/2012 8:29 PM		dbo
Ave_TALabCourse_2124	dbo	8/23/2012 11:11 AM		dbo
Ave_TALabCourse_21270	dbo	1/3/2013 9:34 AM		dbo
Ave_TALabCourse_21271	dbo	1/3/2013 9:35 AM		dbo
Ave_TALabCourse_21310	dbo	3/6/2013 11:13 AM		dbo
Ave_TALabCourse_21311	dbo	5/15/2013 1:51 PM		dbo
Ave_TALabCourse_2134	dbo	8/14/2013 4:46 PM		dbo
Ave_TALabCourse_21370	dbo	10/17/2013 3:19 PM		dbo
Ave_TALabCourse_21371	dbo	3/5/2014 9:51 AM		dbo
Ave_TALabCourse_21410	dbo	3/5/2014 9:50 AM		dbo
Ave_TALabCourse_21411	dbo	5/15/2014 9:56 AM		dbo
Ave_TALabCourse_2144	dbo	8/25/2014 4:06 PM		dbo
Ave_TALabCourse_21470	dbo	10/17/2014 11:26 AM		dbo
Ave_TALabCourse_21471	dbo	12/22/2014 3:53 PM		dbo
Ave_TALabCourse_21510	dbo	3/9/2015 3:47 PM		dbo
Ave_TALabCourse_21511	dbo	5/29/2015 2:44 PM		dbo
Ave_TALabCourse_2154	dbo	8/24/2015 2:37 PM		dbo
Ave_TALabCourse_21570	dbo	10/27/2015 3:54 PM		dbo
Ave_TALabCourse_21571	dbo	3/9/2016 2:56 PM		dbo
Ave_TALabCourse_21610	dbo	3/9/2016 2:55 PM		dbo
Ave_TALabCourse_21611	dbo	5/6/2016 4:48 PM		dbo
Ave_TALabCourse_2164	dbo	8/23/2016 10:33 AM		dbo
Ave_TALabCourse_21670	dbo	10/17/2016 10:55 AM		dbo
Ave_TALabCourse_21671	dbo	12/14/2016 4:10 PM		dbo
Ave_TALabCourse_21710	dbo	3/13/2017 4:44 PM		dbo
Ave_TALabCourse_21711	dbo	5/16/2017 4:44 PM		dbo
Ave_TALabCourse_2174	dbo	8/28/2017 2:05 PM		dbo
Ave_TALabCourse_21770	dbo	3/16/2018 2:11 PM		dbo
Ave_TALabCourse_21771	dbo	3/16/2018 2:12 PM		dbo
Ave_TALabCourse_21810	dbo	3/16/2018 2:13 PM		dbo
Ave_TALabCourse_21811	dbo	5/16/2018 2:07 PM		dbo
Ave_TALabCourse_2184	dbo	8/31/2018 1:11 PM		dbo
Ave_TALabCourse_21870	dbo	12/11/2018 3:39 PM		dbo
Ave_TALabCourse_21871	dbo	12/11/2018 3:40 PM		dbo
Ave_TALabCourse_21910	dbo	3/13/2019 1:09 PM		dbo
Ave_TALabCourse_21911	dbo	5/15/2019 11:30 AM		dbo
Ave_TALabCourse_2194	dbo	8/20/2019 9:18 AM		dbo
Ave_TALabCourse_21970	dbo	10/21/2019 10:14 AM		dbo
Ave_TALabCourse_21971	dbo	1/3/2020 1:16 PM		dbo
Ave_TALabCourse_22010	dbo	3/10/2020 2:45 PM		dbo
Ave_TALabCourse_22011	dbo	5/19/2020 9:33 AM		dbo
Ave_TALabCourse_2204	dbo	8/24/2020 10:05 AM		dbo
Ave_TALabCourse_22070	dbo	10/22/2020 4:59 PM		dbo
Ave_TALabCourse_22110	dbo	3/3/2021 11:51 AM		dbo
Ave_TALabCourse_22111	dbo	5/8/2021 3:29 PM		dbo
Ave_TALabCourse_2214	dbo	8/23/2021 10:54 AM		dbo
Ave_TALabCourse_22170	dbo	10/11/2021 11:00 AM		dbo
Ave_TALabCourse_22171	dbo	12/22/2021 5:14 PM		dbo
Ave_TALabCourse_22210	dbo	3/7/2022 3:11 PM		dbo
Ave_TALabCourse_22211	dbo	5/16/2022 2:02 PM		dbo
Ave_TALabCourse_2224	dbo	8/22/2022 12:52 PM		dbo
Ave_TALabCourse_22270	dbo	10/21/2022 1:14 PM		dbo
Ave_TALabCourse_22271	dbo	12/16/2022 12:55 PM		dbo
Ave_TALabCourse_22310	dbo	2/28/2023 4:07 PM		dbo
Ave_TALabCourse_22311	dbo	5/19/2023 3:09 PM		dbo
Ave_TALabCourse_2234	dbo	8/14/2023 3:01 PM		dbo
Ave_TARecCourse_2107	dbo	12/29/2010 10:36 AM		dbo
Ave_TARecCourse_21110	dbo	6/22/2011 4:37 PM		dbo
Ave_TARecCourse_21111	dbo	6/22/2011 4:38 PM		dbo
Ave_TARecCourse_2114	dbo	8/9/2011 3:43 PM		dbo
Ave_TARecCourse_21170	dbo	10/20/2011 3:45 PM		dbo
Ave_TARecCourse_21171	dbo	12/20/2011 9:52 AM		dbo
Ave_TARecCourse_21210	dbo	3/1/2012 2:36 PM		dbo
Ave_TARecCourse_21211	dbo	5/7/2012 8:32 PM		dbo
Ave_TARecCourse_2124	dbo	8/23/2012 11:12 AM		dbo
Ave_TARecCourse_21270	dbo	1/2/2013 5:03 PM		dbo
Ave_TARecCourse_21271	dbo	1/2/2013 4:51 PM		dbo
Ave_TARecCourse_21310	dbo	3/6/2013 11:12 AM		dbo
Ave_TARecCourse_21311	dbo	5/15/2013 1:53 PM		dbo
Ave_TARecCourse_2134	dbo	8/14/2013 4:47 PM		dbo
Ave_TARecCourse_21370	dbo	10/17/2013 3:25 PM		dbo
Ave_TARecCourse_21371	dbo	12/18/2013 9:19 AM		dbo
Ave_TARecCourse_21410	dbo	3/5/2014 9:52 AM		dbo
Ave_TARecCourse_21411	dbo	5/15/2014 9:57 AM		dbo
Ave_TARecCourse_2144	dbo	8/25/2014 4:08 PM		dbo
Ave_TARecCourse_21470	dbo	10/17/2014 10:59 AM		dbo
Ave_TARecCourse_21471	dbo	12/22/2014 3:56 PM		dbo
Ave_TARecCourse_21510	dbo	3/9/2015 3:48 PM		dbo
Ave_TARecCourse_21511	dbo	5/29/2015 2:45 PM		dbo
Ave_TARecCourse_2154	dbo	8/24/2015 2:38 PM		dbo
Ave_TARecCourse_21570	dbo	10/27/2015 3:55 PM		dbo
Ave_TARecCourse_21571	dbo	12/15/2015 10:52 AM		dbo
Ave_TARecCourse_21610	dbo	3/9/2016 2:58 PM		dbo
Ave_TARecCourse_21611	dbo	5/6/2016 4:50 PM		dbo
Ave_TARecCourse_2164	dbo	8/23/2016 10:36 AM		dbo
Ave_TARecCourse_21670	dbo	10/17/2016 10:56 AM		dbo
Ave_TARecCourse_21671	dbo	12/14/2016 4:11 PM		dbo
Ave_TARecCourse_21710	dbo	3/13/2017 4:43 PM		dbo
Ave_TARecCourse_21711	dbo	5/16/2017 4:45 PM		dbo
Ave_TARecCourse_2174	dbo	8/28/2017 2:06 PM		dbo
Ave_TARecCourse_21770	dbo	10/13/2017 3:56 PM		dbo
Ave_TARecCourse_21771	dbo	12/21/2017 3:43 PM		dbo
Ave_TARecCourse_21810	dbo	3/16/2018 2:05 PM		dbo
Ave_TARecCourse_21811	dbo	5/16/2018 2:08 PM		dbo
Ave_TARecCourse_2184	dbo	8/31/2018 1:12 PM		dbo
